AccSpeciesName,count,AccSpeciesID,Genus,SpeciesEpithet,Family,PlantGrowthForm,LeafType,LeafPhenology,PhotosyntheticPathway,param_count_before,param_count_after,PFT
Diospyros barteri,2,18433,Diospyros,barteri,Ebenaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Diospyros batocana,7,18434,Diospyros,batocana,Ebenaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Diospyros bipindensis,4,18437,Diospyros,bipindensis,Ebenaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Diospyros boala,10,18439,Diospyros,boala,Ebenaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Diospyros canaliculata,11,18448,Diospyros,canaliculata,Ebenaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Diospyros cinnabarina,4,18456,Diospyros,cinnabarina,Ebenaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Diospyros confertiflora,2,18458,Diospyros,confertiflora,Ebenaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Diospyros crassiflora,16,18463,Diospyros,crassiflora,Ebenaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Diospyros dendo,4,18470,Diospyros,dendo,Ebenaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Diospyros dichrophylla,7,18473,Diospyros,dichrophylla,Ebenaceae,shrub/tree,broadleaved,evergreen,,3,3,BET-Tr
Diospyros elliotii,1,67365,Diospyros,elliotii,Ebenaceae,tree,broadleaved,evergreen,,1,3,BET-Tr
Diospyros gabunensis,7,18495,Diospyros,gabunensis,Ebenaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Diospyros hoyleana,2,18509,Diospyros,hoyleana,Ebenaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Diospyros inhacaensis,6,18514,Diospyros,inhacaensis,Ebenaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Diospyros kirkii,3,18518,Diospyros,kirkii,Ebenaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Diospyros lycioides,21,18531,Diospyros,lycioides,Ebenaceae,shrub/tree,broadleaved,evergreen,,3,3,BET-Tr
Diospyros mannii,4,18541,Diospyros,mannii,Ebenaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Diospyros mespiliformis,8,18547,Diospyros,mespiliformis,Ebenaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Diospyros natalensis,18,18555,Diospyros,natalensis,Ebenaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Diospyros piscatoria,39,18577,Diospyros,piscatoria,Ebenaceae,tree,broadleaved,evergreen,,3,3,BET-Tr
